WAFER_ID,CLASS,STEP_ID,EQP_ID
W0000,CLASS_02,STEP_000,EQP_02
W0000,CLASS_02,STEP_001,EQP_08
W0000,CLASS_02,STEP_002,EQP_08
W0000,CLASS_02,STEP_003,EQP_01
W0000,CLASS_02,STEP_004,EQP_02
W0000,CLASS_02,STEP_005,EQP_09
W0000,CLASS_02,STEP_006,EQP_08
W0000,CLASS_02,STEP_007,EQP_08
W0000,CLASS_02,STEP_008,EQP_07
W0000,CLASS_02,STEP_009,EQP_09
W0000,CLASS_02,STEP_010,EQP_07
W0000,CLASS_02,STEP_011,EQP_09
W0000,CLASS_02,STEP_012,EQP_03
W0000,CLASS_02,STEP_013,EQP_04
W0000,CLASS_02,STEP_014,EQP_05
W0000,CLASS_02,STEP_015,EQP_03
W0000,CLASS_02,STEP_016,EQP_09
W0000,CLASS_02,STEP_017,EQP_01
W0000,CLASS_02,STEP_018,EQP_03
W0000,CLASS_02,STEP_019,EQP_03
W0001,CLASS_09,STEP_000,EQP_07
W0001,CLASS_09,STEP_001,EQP_04
W0001,CLASS_09,STEP_002,EQP_08
W0001,CLASS_09,STEP_003,EQP_08
W0001,CLASS_09,STEP_004,EQP_03
W0001,CLASS_09,STEP_005,EQP_02
W0001,CLASS_09,STEP_006,EQP_01
W0001,CLASS_09,STEP_007,EQP_04
W0001,CLASS_09,STEP_008,EQP_04
W0001,CLASS_09,STEP_009,EQP_04
W0001,CLASS_09,STEP_010,EQP_02
W0001,CLASS_09,STEP_011,EQP_07
W0001,CLASS_09,STEP_012,EQP_08
W0001,CLASS_09,STEP_013,EQP_00
W0001,CLASS_09,STEP_014,EQP_06
W0001,CLASS_09,STEP_015,EQP_02
W0001,CLASS_09,STEP_016,EQP_05
W0001,CLASS_09,STEP_017,EQP_03
W0001,CLASS_09,STEP_018,EQP_06
W0001,CLASS_09,STEP_019,EQP_04
W0002,CLASS_05,STEP_000,EQP_06
W0002,CLASS_05,STEP_001,EQP_00
W0002,CLASS_05,STEP_002,EQP_00
W0002,CLASS_05,STEP_003,EQP_04
W0002,CLASS_05,STEP_004,EQP_00
W0002,CLASS_05,STEP_005,EQP_04
W0002,CLASS_05,STEP_006,EQP_08
W0002,CLASS_05,STEP_007,EQP_00
W0002,CLASS_05,STEP_008,EQP_01
W0002,CLASS_05,STEP_009,EQP_09
W0002,CLASS_05,STEP_010,EQP_03
W0002,CLASS_05,STEP_011,EQP_07
W0002,CLASS_05,STEP_012,EQP_06
W0002,CLASS_05,STEP_013,EQP_05
W0002,CLASS_05,STEP_014,EQP_07
W0002,CLASS_05,STEP_015,EQP_05
W0002,CLASS_05,STEP_016,EQP_05
W0002,CLASS_05,STEP_017,EQP_08
W0002,CLASS_05,STEP_018,EQP_01
W0002,CLASS_05,STEP_019,EQP_00
W0003,CLASS_04,STEP_000,EQP_01
W0003,CLASS_04,STEP_001,EQP_05
W0003,CLASS_04,STEP_002,EQP_06
W0003,CLASS_04,STEP_003,EQP_05
W0003,CLASS_04,STEP_004,EQP_06
W0003,CLASS_04,STEP_005,EQP_05
W0003,CLASS_04,STEP_006,EQP_01
W0003,CLASS_04,STEP_007,EQP_08
W0003,CLASS_04,STEP_008,EQP_09
W0003,CLASS_04,STEP_009,EQP_06
W0003,CLASS_04,STEP_010,EQP_09
W0003,CLASS_04,STEP_011,EQP_06
W0003,CLASS_04,STEP_012,EQP_07
W0003,CLASS_04,STEP_013,EQP_09
W0003,CLASS_04,STEP_014,EQP_08
W0003,CLASS_04,STEP_015,EQP_01
W0003,CLASS_04,STEP_016,EQP_06
W0003,CLASS_04,STEP_017,EQP_02
W0003,CLASS_04,STEP_018,EQP_03
W0003,CLASS_04,STEP_019,EQP_07
W0004,CLASS_05,STEP_000,EQP_07
W0004,CLASS_05,STEP_001,EQP_00
W0004,CLASS_05,STEP_002,EQP_07
W0004,CLASS_05,STEP_003,EQP_04
W0004,CLASS_05,STEP_004,EQP_08
W0004,CLASS_05,STEP_005,EQP_00
W0004,CLASS_05,STEP_006,EQP_09
W0004,CLASS_05,STEP_007,EQP_03
W0004,CLASS_05,STEP_008,EQP_05
W0004,CLASS_05,STEP_009,EQP_02
W0004,CLASS_05,STEP_010,EQP_06
W0004,CLASS_05,STEP_011,EQP_08
W0004,CLASS_05,STEP_012,EQP_03
W0004,CLASS_05,STEP_013,EQP_07
W0004,CLASS_05,STEP_014,EQP_08
W0004,CLASS_05,STEP_015,EQP_01
W0004,CLASS_05,STEP_016,EQP_07
